n,Threads,Tempo(s),Qtd_Primos
10,1,0.00000100,4
100,1,0.00000300,25
1000,1,0.00004000,168
10000,1,0.00075800,1229
100000,1,0.03418100,9592
1000000,1,0.43191200,78498
10000000,1,10.28892100,664579
10,2,0.00017000,4
100,2,0.00000500,25
1000,2,0.00002700,168
10000,2,0.00047700,1229
100000,2,0.01074500,9592
1000000,2,0.27456600,78498
10000000,2,7.61969800,664579
10,3,0.00017000,4
100,3,0.00000400,25
1000,3,0.00002800,168
10000,3,0.00050000,1229
100000,3,0.01220800,9592
1000000,3,0.25150100,78498
10000000,3,6.16478100,664579
10,4,0.00011900,4
100,4,0.00000500,25
1000,4,0.00002200,168
10000,4,0.00039400,1229
100000,4,0.00960400,9592
1000000,4,0.20896600,78498
10000000,4,5.65210200,664579
10,5,0.00035200,4
100,5,0.00019100,25
1000,5,0.00012300,168
10000,5,0.00071200,1229
100000,5,0.00997500,9592
1000000,5,0.22125300,78498
10000000,5,5.62997700,664579
10,6,0.00049400,4
100,6,0.00031000,25
1000,6,0.00030100,168
10000,6,0.00056300,1229
100000,6,0.01075500,9592
1000000,6,0.21798500,78498
10000000,6,5.40603800,664579
10,7,0.00054100,4
100,7,0.00030200,25
1000,7,0.00021700,168
10000,7,0.00058900,1229
100000,7,0.00829800,9592
1000000,7,0.21037600,78498
10000000,7,5.36266700,664579
10,8,0.00056000,4
100,8,0.00028400,25
1000,8,0.00025100,168
10000,8,0.00080100,1229
100000,8,0.00895800,9592
1000000,8,0.21652800,78498
10000000,8,5.27962800,664579
