schedule,collapse,chunk_size,tempo,estado_inicial
static,0,1,0.149914,parado
static,0,1,0.148470,perturbado
static,0,2,0.079983,parado
static,0,2,0.089427,perturbado
static,0,4,0.061521,parado
static,0,4,0.153659,perturbado
static,0,8,0.168139,parado
static,0,8,0.062646,perturbado
static,0,16,0.096729,parado
static,0,16,0.087734,perturbado
static,1,1,0.306385,parado
static,1,1,0.118524,perturbado
static,1,2,0.068032,parado
static,1,2,0.134353,perturbado
static,1,4,0.077176,parado
static,1,4,0.058581,perturbado
static,1,8,0.079912,parado
static,1,8,0.084516,perturbado
static,1,16,0.063499,parado
static,1,16,0.104782,perturbado
dynamic,0,1,0.054440,parado
dynamic,0,1,0.073653,perturbado
dynamic,0,2,0.073759,parado
dynamic,0,2,0.251513,perturbado
dynamic,0,4,0.200597,parado
dynamic,0,4,0.092282,perturbado
dynamic,0,8,0.075036,parado
dynamic,0,8,0.051026,perturbado
dynamic,0,16,0.078206,parado
dynamic,0,16,0.082533,perturbado
dynamic,1,1,0.116259,parado
dynamic,1,1,0.137904,perturbado
dynamic,1,2,0.216032,parado
dynamic,1,2,0.150596,perturbado
dynamic,1,4,0.075378,parado
dynamic,1,4,0.093961,perturbado
dynamic,1,8,0.441518,parado
dynamic,1,8,0.355316,perturbado
dynamic,1,16,0.122137,parado
dynamic,1,16,0.075377,perturbado
guided,0,1,0.068405,parado
guided,0,1,0.048502,perturbado
guided,0,2,0.074142,parado
guided,0,2,0.056531,perturbado
guided,0,4,0.069958,parado
guided,0,4,0.269612,perturbado
guided,0,8,0.130758,parado
guided,0,8,0.132302,perturbado
guided,0,16,0.238895,parado
guided,0,16,0.111201,perturbado
guided,1,1,0.067567,parado
guided,1,1,0.052326,perturbado
guided,1,2,0.076536,parado
guided,1,2,0.066033,perturbado
guided,1,4,0.174571,parado
guided,1,4,0.063533,perturbado
guided,1,8,0.069499,parado
guided,1,8,0.067073,perturbado
guided,1,16,0.061354,parado
guided,1,16,0.329967,perturbado
