Threads,OMP_PROC_BIND,OMP_PLACES,Tempo(s)
1,false,cores,0.434238
1,false,threads,0.430995
1,false,sockets,0.432558
1,true,cores,0.435462
1,true,threads,0.43352
1,true,sockets,0.432276
1,spread,cores,0.428375
1,spread,threads,0.432943
1,spread,sockets,0.431847
1,close,cores,0.429278
1,close,threads,0.432676
1,close,sockets,0.431284
1,master,cores,0.430941
1,master,threads,0.428461
1,master,sockets,0.430792
2,false,cores,0.2274
2,false,threads,0.227388
2,false,sockets,0.227016
2,true,cores,0.221937
2,true,threads,0.455869
2,true,sockets,0.227652
2,spread,cores,0.228168
2,spread,threads,0.228538
2,spread,sockets,0.226529
2,close,cores,0.219556
2,close,threads,0.456272
2,close,sockets,0.226491
2,master,cores,0.455515
2,master,threads,0.559163
2,master,sockets,0.227448
4,false,cores,0.126384
4,false,threads,0.126556
4,false,sockets,0.125995
4,true,cores,0.12399
4,true,threads,0.238557
4,true,sockets,0.125906
4,spread,cores,0.123975
4,spread,threads,0.126217
4,spread,sockets,0.126124
4,close,cores,0.123865
4,close,threads,0.238258
4,close,sockets,0.126453
4,master,cores,0.608399
4,master,threads,0.808383
4,master,sockets,0.126587
8,false,cores,0.0738554
8,false,threads,0.0738797
8,false,sockets,0.0748172
8,true,cores,0.0733578
8,true,threads,0.133336
8,true,sockets,0.0741677
8,spread,cores,0.0729382
8,spread,threads,0.0733745
8,spread,sockets,0.0741754
8,close,cores,0.0732038
8,close,threads,0.133651
8,close,sockets,0.0746169
8,master,cores,0.911588
8,master,threads,1.30413
8,master,sockets,0.074173
16,false,cores,0.0415082
16,false,threads,0.0414503
16,false,sockets,0.0416427
16,true,cores,0.0413992
16,true,threads,0.0799439
16,true,sockets,0.0416024
16,spread,cores,0.0413537
16,spread,threads,0.0418131
16,spread,sockets,0.0424054
16,close,cores,0.0427184
16,close,threads,0.0806756
16,close,sockets,0.041738
16,master,cores,1.52448
16,master,threads,2.31444
16,master,sockets,0.0421343
32,false,cores,0.046793
32,false,threads,0.0467143
32,false,sockets,0.046339
32,true,cores,0.0464377
32,true,threads,0.0464787
32,true,sockets,0.046654
32,spread,cores,0.0464225
32,spread,threads,0.0468454
32,spread,sockets,0.0465293
32,close,cores,0.0469151
32,close,threads,0.0461752
32,close,sockets,0.0465021
32,master,cores,2.74084
