Rodando com 1 threads | BIND=false | PLACE=cores
Rodando com 1 threads | BIND=false | PLACE=threads
Rodando com 1 threads | BIND=false | PLACE=sockets
Rodando com 1 threads | BIND=true | PLACE=cores
Rodando com 1 threads | BIND=true | PLACE=threads
Rodando com 1 threads | BIND=true | PLACE=sockets
Rodando com 1 threads | BIND=spread | PLACE=cores
Rodando com 1 threads | BIND=spread | PLACE=threads
Rodando com 1 threads | BIND=spread | PLACE=sockets
Rodando com 1 threads | BIND=close | PLACE=cores
Rodando com 1 threads | BIND=close | PLACE=threads
Rodando com 1 threads | BIND=close | PLACE=sockets
Rodando com 1 threads | BIND=master | PLACE=cores
Rodando com 1 threads | BIND=master | PLACE=threads
Rodando com 1 threads | BIND=master | PLACE=sockets
Rodando com 2 threads | BIND=false | PLACE=cores
Rodando com 2 threads | BIND=false | PLACE=threads
Rodando com 2 threads | BIND=false | PLACE=sockets
Rodando com 2 threads | BIND=true | PLACE=cores
Rodando com 2 threads | BIND=true | PLACE=threads
Rodando com 2 threads | BIND=true | PLACE=sockets
Rodando com 2 threads | BIND=spread | PLACE=cores
Rodando com 2 threads | BIND=spread | PLACE=threads
Rodando com 2 threads | BIND=spread | PLACE=sockets
Rodando com 2 threads | BIND=close | PLACE=cores
Rodando com 2 threads | BIND=close | PLACE=threads
Rodando com 2 threads | BIND=close | PLACE=sockets
Rodando com 2 threads | BIND=master | PLACE=cores
Rodando com 2 threads | BIND=master | PLACE=threads
Rodando com 2 threads | BIND=master | PLACE=sockets
Rodando com 4 threads | BIND=false | PLACE=cores
Rodando com 4 threads | BIND=false | PLACE=threads
Rodando com 4 threads | BIND=false | PLACE=sockets
Rodando com 4 threads | BIND=true | PLACE=cores
Rodando com 4 threads | BIND=true | PLACE=threads
Rodando com 4 threads | BIND=true | PLACE=sockets
Rodando com 4 threads | BIND=spread | PLACE=cores
Rodando com 4 threads | BIND=spread | PLACE=threads
Rodando com 4 threads | BIND=spread | PLACE=sockets
Rodando com 4 threads | BIND=close | PLACE=cores
Rodando com 4 threads | BIND=close | PLACE=threads
Rodando com 4 threads | BIND=close | PLACE=sockets
Rodando com 4 threads | BIND=master | PLACE=cores
Rodando com 4 threads | BIND=master | PLACE=threads
Rodando com 4 threads | BIND=master | PLACE=sockets
Rodando com 8 threads | BIND=false | PLACE=cores
Rodando com 8 threads | BIND=false | PLACE=threads
Rodando com 8 threads | BIND=false | PLACE=sockets
Rodando com 8 threads | BIND=true | PLACE=cores
Rodando com 8 threads | BIND=true | PLACE=threads
Rodando com 8 threads | BIND=true | PLACE=sockets
Rodando com 8 threads | BIND=spread | PLACE=cores
Rodando com 8 threads | BIND=spread | PLACE=threads
Rodando com 8 threads | BIND=spread | PLACE=sockets
Rodando com 8 threads | BIND=close | PLACE=cores
Rodando com 8 threads | BIND=close | PLACE=threads
Rodando com 8 threads | BIND=close | PLACE=sockets
Rodando com 8 threads | BIND=master | PLACE=cores
Rodando com 8 threads | BIND=master | PLACE=threads
Rodando com 8 threads | BIND=master | PLACE=sockets
Rodando com 16 threads | BIND=false | PLACE=cores
Rodando com 16 threads | BIND=false | PLACE=threads
Rodando com 16 threads | BIND=false | PLACE=sockets
Rodando com 16 threads | BIND=true | PLACE=cores
Rodando com 16 threads | BIND=true | PLACE=threads
Rodando com 16 threads | BIND=true | PLACE=sockets
Rodando com 16 threads | BIND=spread | PLACE=cores
Rodando com 16 threads | BIND=spread | PLACE=threads
Rodando com 16 threads | BIND=spread | PLACE=sockets
Rodando com 16 threads | BIND=close | PLACE=cores
Rodando com 16 threads | BIND=close | PLACE=threads
Rodando com 16 threads | BIND=close | PLACE=sockets
Rodando com 16 threads | BIND=master | PLACE=cores
Rodando com 16 threads | BIND=master | PLACE=threads
Rodando com 16 threads | BIND=master | PLACE=sockets
Rodando com 32 threads | BIND=false | PLACE=cores
Rodando com 32 threads | BIND=false | PLACE=threads
Rodando com 32 threads | BIND=false | PLACE=sockets
Rodando com 32 threads | BIND=true | PLACE=cores
Rodando com 32 threads | BIND=true | PLACE=threads
Rodando com 32 threads | BIND=true | PLACE=sockets
Rodando com 32 threads | BIND=spread | PLACE=cores
Rodando com 32 threads | BIND=spread | PLACE=threads
Rodando com 32 threads | BIND=spread | PLACE=sockets
Rodando com 32 threads | BIND=close | PLACE=cores
Rodando com 32 threads | BIND=close | PLACE=threads
Rodando com 32 threads | BIND=close | PLACE=sockets
Rodando com 32 threads | BIND=master | PLACE=cores
Rodando com 32 threads | BIND=master | PLACE=threads
Rodando com 32 threads | BIND=master | PLACE=sockets
Testes concluídos! Resultados em resultados_afinidade.csv
